track_name,artist(s)_name,artist_count,released_year,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,final,,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,genre,in_shazam_charts,,,,,Day1,Day2,Day3,Day4,Day5,Day6
Takci,Kalush,1,2021,5276788,5279441,5282249,5284918,5287204,5289652,5292048,5312460,,42,6,3,2,1,0,Pop,0,,1.00045296,1.000463005,1.000432552,2653,2808,2669,2286,2448,2396
My heaven,BigBang,1,2021,10088599,10092433,10096418,10100023,10103539,10107972,10112628,10157987,,34,5,5,1,2,1,Pop,0,,1.000460627,1.000438757,1.000348118,3834,3985,3605,3516,4433,4656
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,205397682,205477887,205545473,205625603,205706435,205779447,205848800,206559695,,138,4,13,78,2,0,Indian Pop,0,,1.000337026,1.000354933,1.000393103,80205,67586,80130,80832,73012,69353
Overdrive,Post Malone,1,2023,140220860,140403218,140622259,140799207,140941544,141128637,141271933,140959180,,410,36,36,32,31,1,Pop,26,,1.001015357,1.001327451,1.001010922,182358,219041,176948,142337,187093,143296
S91,Karol G,1,2023,256078189,256334849,256553766,256791633,256988002,257204124,257423081,257699418,,525,41,34,115,39,6,Spanish Hip-Hop,216,,1.000851297,1.000840981,1.000764702,256660,218917,237867,196369,216122,218957
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,133895283,134027317,134172172,134306778,134433569,134571641,134710271,134847970,,86,11,3,33,3,0,Pop,1,,1.001030158,1.001027065,1.00094404,132034,144855,134606,126791,138072,138630
Phantom Regret by Jim,The Weeknd,1,2022,37164411,37175578,37187345,37197907,37207828,37219232,37242524,37417774,,768,0,1,1,3,0,Rock,0,,1.000625805,1.000306495,1.000266709,11167,11767,10562,9921,11404,11646
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,43436948,43461064,43489539,43515564,43540181,43568114,43624396,43587793,,1890,0,3,0,2,0,Hip-Hop,0,,1.001291816,1.000641545,1.000565706,24116,28475,26025,24617,27933,28141
Mine (Taylor's Version),Taylor Swift,1,2023,188197194,188408366,188636556,188845187,189046827,189260698,189479720,189199438,,99,15,21,52,6,1,Romantic,0,,1.00115725,1.001131312,1.001067753,211172,228190,208631,201640,213871,219022
Savior - Interlude,Kendrick Lamar,1,2022,46966781,46989102,47015802,47037670,47058530,47081889,47129537,47137451,,1194,0,0,0,3,0,Rock,0,,1.001012024,1.000496382,1.000443474,22321,26700,21868,20860,23359,23824
Every Angel is Terrifying,The Weeknd,1,2022,42815495,42827995,42840810,42852384,42863304,42876038,42902039,43130490,,715,0,0,1,2,0,Rock,0,,1.000606423,1.000297084,1.000254828,12500,12815,11574,10920,12734,13001
Auntie Diaries,Kendrick Lamar,1,2022,47270385,47291612,47316848,47337279,47357236,47379574,47425820,47572529,,1545,0,1,0,4,0,Hip-Hop,0,,1.000976075,1.000471691,1.000421592,21227,25236,20431,19957,22338,23123
Back To December (Taylor's Version),Taylor Swift,1,2023,205786044,205998568,206195654,206389856,206580835,206784781,206993445,206956080,,139,17,16,72,5,0,Romantic,8,,1.001009088,1.000987246,1.000925331,212524,197086,194202,190979,203946,208664
Enchanted (Taylor's Version),Taylor Swift,1,2023,316778540,317260752,317717148,318168827,318605810,319073451,319543965,318577959,,148,24,32,93,8,2,Romantic,5,,1.001474626,1.001467773,1.001373431,482212,456396,451679,436983,467641,470514
Rich - Interlude,Kendrick Lamar,1,2022,50417246,50438265,50460323,50480073,50498786,50520004,50561824,50700562,,1103,0,0,0,0,0,Hip-Hop,0,,1.000827791,1.000420169,1.000370701,21019,22058,19750,18713,21218,20910
A Tale By Quincy,The Weeknd,1,2022,48034722,48047609,48061851,48074063,48085647,48099024,48126652,48460518,,733,0,0,2,2,0,Rock,0,,1.000574398,1.000278191,1.000240962,12887,14242,12212,11584,13377,13814
Crown,Kendrick Lamar,1,2022,53961172,53988934,54018097,54043641,54068378,54096327,54154254,54274109,,1493,0,2,0,10,0,Pop,0,,1.001070812,1.00051692,1.000457723,27762,29163,25544,24737,27949,28963
Mirror,Kendrick Lamar,1,2022,73896738,73951718,73999318,74045857,74089461,74141534,74246706,74470729,,1929,0,2,0,4,0,Pop,0,,1.00141853,1.00070284,1.000588878,54980,47600,46539,43604,52073,52586
Stefania (Kalush Orchestra),KALUSH,1,2022,64751547,64771131,64789648,64808205,64825786,64844920,64863620,65265572,,555,0,10,4,4,0,Pop,0,,1.00028838,1.00029516,1.000271277,19584,18517,18557,17581,19134,18700
Still Life,BIGBANG,1,2022,66427048,66452288,66478607,66501817,66524933,66551280,66578109,66862300,,181,0,16,14,7,0,Pop,0,,1.000403133,1.000396047,1.0003476,25240,26319,23210,23116,26347,26829
Dawn FM,The Weeknd,1,2022,62994564,63011872,63030237,63046845,63062569,63082090,63119692,63350638,,811,0,1,8,6,0,Pop,0,,1.00059608,1.00030955,1.000249402,17308,18365,16608,15724,19521,18801
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyonce",2,2023,110370626,110433463,110492222,110551163,110604860,110664665,110785628,110866814,,896,0,34,2,33,0,Hip-Hop,1,,1.001093059,1.000540709,1.000485721,62837,58759,58941,53697,59805,60841
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,77730686,77782101,77827770,77871409,77911894,77958931,78055202,78379395,,1860,0,1,0,3,0,Rock,0,,1.001234894,1.00060372,1.000519896,51415,45669,43639,40485,47037,48135
